[14-Jul-2014 06:17:57 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:18:00 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:18:00 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:18:01 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:18:01 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:20:24 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:20:25 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:20:25 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:20:26 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:20:26 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:20:26 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:20:26 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:21:39 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:21:51 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
